date,vader_neg,vader_neu,vader_pos,vader_compound,post_count
2024-08-26,0.087,0.7875,0.126,0.05309999999999998,2
2024-08-27,0.0,0.837,0.163,0.9737,1
2024-08-28,0.02766666666666667,0.8856666666666667,0.08666666666666667,0.5711,3
2024-08-29,0.0,0.925,0.075,0.8074,1
2024-08-30,0.17833333333333334,0.786,0.035666666666666666,-0.24723333333333333,3
2024-08-31,0.015,0.8500000000000001,0.135,0.7985,2
2024-09-02,0.025,0.797,0.178,0.8885,1
2024-09-04,0.061,0.748,0.191,0.9909,1
2024-09-06,0.0045,0.867,0.1285,0.81045,2
2024-09-07,0.08149999999999999,0.8494999999999999,0.07,-0.10880000000000001,2
2024-09-09,0.183,0.7545,0.0625,0.14125000000000001,2
2024-09-10,0.0,1.0,0.0,0.0,1
2024-09-11,0.036500000000000005,0.84,0.124,0.9814,2
2024-09-12,0.036,0.848,0.11566666666666665,0.4522,3
2024-09-13,0.0295,0.9139999999999999,0.056,0.49935,2
2024-09-14,0.018,0.8380000000000001,0.14400000000000002,0.97925,2
2024-09-15,0.0155,0.8335,0.1505,0.9400999999999999,2
2024-09-17,0.0,1.0,0.0,0.0,2
2024-09-18,0.043,0.842,0.115,0.891,1
2024-09-20,0.119,0.799,0.082,-0.783,1
2024-09-24,0.032,0.86225,0.106,0.6944,4
2024-09-25,0.0,0.825,0.175,0.8479,1
2024-09-29,0.065,0.819,0.116,0.9996,1
2024-10-01,0.091,0.909,0.0,-0.3182,1
2024-10-02,0.672,0.328,0.0,-0.802,1
2024-10-03,0.062,0.7,0.238,0.9986,1
2024-10-04,0.237,0.763,0.0,-0.2732,1
2024-10-05,0.042499999999999996,0.8645,0.0925,0.08999999999999997,2
2024-10-06,0.025666666666666667,0.9036666666666666,0.071,0.4099,3
2024-10-07,0.04633333333333334,0.8933333333333332,0.06066666666666667,0.19206666666666664,3
2024-10-08,0.055,0.846,0.1,0.9065,1
2024-10-09,0.010499999999999999,0.875,0.11449999999999999,0.9300999999999999,2
2024-10-10,0.0135,0.8535,0.133,0.938,2
2024-10-11,0.0375,0.89,0.0725,0.40965,2
2024-10-12,0.07166666666666667,0.7893333333333333,0.13866666666666666,0.3546666666666667,3
2024-10-13,0.013666666666666667,0.8273333333333334,0.159,0.9450666666666666,3
2024-10-14,0.028142857142857143,0.874,0.09799999999999999,0.5411285714285714,7
2024-10-15,0.046,0.815,0.13899999999999998,0.7197,2
2024-10-16,0.030200000000000005,0.8872,0.08280000000000001,0.60656,5
2024-10-17,0.042333333333333334,0.8356666666666667,0.12183333333333334,0.4925333333333333,6
2024-10-18,0.0258,0.8640000000000001,0.1103,0.49050000000000005,10
2024-10-19,0.0075,0.766,0.2265,0.96495,2
2024-10-20,0.11133333333333334,0.8153333333333332,0.07300000000000001,0.3319666666666667,3
2024-10-21,0.0172,0.874,0.10880000000000001,0.7453000000000001,5
2024-10-22,0.044000000000000004,0.842,0.114,0.8241666666666667,3
2024-10-23,0.047285714285714285,0.8005714285714286,0.152,0.3235,7
2024-10-24,0.02642857142857143,0.8541428571428572,0.1197142857142857,0.6974571428571429,7
2024-10-25,0.038714285714285715,0.8357142857142856,0.12571428571428572,0.6200571428571429,7
2024-10-26,0.037,0.84,0.123,0.80585,2
2024-10-27,0.024,0.86,0.116,0.8494,2
2024-10-28,0.03216666666666667,0.8398333333333333,0.12816666666666668,0.9167666666666667,6
2024-10-29,0.03766666666666666,0.887,0.075,0.5386666666666666,3
2024-10-30,0.040400000000000005,0.8282,0.1312,0.49715999999999994,5
2024-10-31,0.04616666666666667,0.8295,0.12466666666666666,0.6029833333333333,6
2024-11-01,0.024333333333333332,0.8234444444444445,0.15233333333333332,0.9125111111111112,9
2024-11-02,0.027499999999999997,0.8815000000000001,0.091,0.4492875,8
2024-11-03,0.029833333333333333,0.847,0.12333333333333334,0.5973499999999999,6
2024-11-04,0.06475,0.73475,0.20024999999999998,0.5129,4
2024-11-05,0.066,0.8146666666666667,0.11933333333333333,0.6342,3
2024-11-06,0.042666666666666665,0.8173333333333334,0.14016666666666666,0.8928833333333334,6
2024-11-07,0.078,0.846,0.077,-0.31465,2
2024-11-08,0.03825,0.84125,0.120375,0.8248625,8
2024-11-09,0.10233333333333333,0.8079999999999999,0.08933333333333333,0.38660000000000005,3
2024-11-10,0.023399999999999997,0.8981999999999999,0.0784,0.38212,5
2024-11-11,0.022000000000000002,0.8456666666666667,0.13244444444444448,0.5299333333333334,9
2024-11-12,0.05442857142857143,0.8705714285714287,0.075,0.4153428571428571,7
2024-11-13,0.02,0.8617999999999999,0.11800000000000002,0.5082,5
2024-11-14,0.0,0.844,0.156,0.34,1
2024-11-15,0.0762,0.8652,0.058399999999999994,0.0012199999999999989,5
2024-11-16,0.0825,0.773,0.14500000000000002,0.393,2
2024-11-17,0.027,0.89,0.084,0.9028,1
2024-11-18,0.0175,0.8574999999999999,0.125,0.9601500000000001,2
2024-11-19,0.0232,0.8392,0.1372,0.89992,5
2024-11-20,0.028333333333333332,0.8703333333333333,0.10099999999999999,0.08023333333333336,3
2024-11-21,0.04,0.9074,0.0524,-0.11857999999999999,5
2024-11-22,0.05399999999999999,0.84475,0.10175000000000001,0.626675,4
2024-11-23,0.051,0.8275,0.12125,0.42669999999999997,4
2024-11-24,0.052500000000000005,0.78,0.16749999999999998,0.9488000000000001,2
2024-11-25,0.08075,0.857,0.0625,0.265775,4
2024-11-26,0.02025,0.862,0.11775,0.9292,4
2024-11-27,0.04971428571428571,0.8214285714285714,0.12914285714285714,0.3867142857142857,7
2024-11-28,0.051250000000000004,0.8265,0.1225,0.669025,4
2024-11-29,0.03825,0.833125,0.12874999999999998,0.780775,8
2024-11-30,0.044,0.8314,0.1252,0.41288,5
2024-12-01,0.01925,0.796,0.1845,0.899425,4
2024-12-02,0.07585714285714285,0.8165714285714286,0.10785714285714286,0.4163571428571428,7
2024-12-03,0.061399999999999996,0.8984,0.0402,0.08235999999999999,5
2024-12-04,0.033,0.8591666666666667,0.108,0.6620499999999999,6
2024-12-05,0.0225,0.944,0.0335,0.1806,2
2024-12-06,0.0635,0.8224999999999999,0.11433333333333334,0.6889333333333334,6
2024-12-07,0.05266666666666667,0.831,0.11633333333333333,0.8381,3
2024-12-08,0.05733333333333334,0.8525,0.09016666666666667,0.6238,6
2024-12-09,0.03183333333333333,0.8485,0.12,0.7427666666666667,6
2024-12-10,0.06488888888888888,0.8447777777777777,0.09022222222222223,0.5300777777777778,9
2024-12-11,0.034333333333333334,0.8475,0.11750000000000001,0.8891333333333334,6
2024-12-12,0.052083333333333336,0.81,0.13783333333333334,0.6958583333333334,12
2024-12-13,0.0385,0.8548333333333332,0.10683333333333334,0.13888333333333333,6
2024-12-14,0.06625,0.85375,0.08,0.14079999999999998,4
2024-12-15,0.107,0.808,0.08499999999999999,-0.0716,2
2024-12-16,0.035777777777777776,0.844,0.12011111111111111,0.47837777777777774,9
2024-12-17,0.05,0.8533333333333333,0.09633333333333333,0.6513888888888889,9
2024-12-18,0.0644,0.8084999999999999,0.1271,0.38239999999999996,10
2024-12-19,0.03828571428571429,0.8772857142857143,0.08442857142857142,0.4114285714285714,7
2024-12-20,0.053875,0.8225,0.123375,0.553775,8
2024-12-21,0.036727272727272726,0.8459090909090908,0.11736363636363635,0.5752272727272727,11
2024-12-22,0.068,0.784,0.14775,0.580875,4
2024-12-23,0.03666666666666666,0.8114444444444444,0.15188888888888888,0.5173000000000001,9
2024-12-24,0.04627272727272727,0.8464545454545455,0.10718181818181818,0.5124727272727273,11
2024-12-25,0.033100000000000004,0.8593,0.1075,0.62779,10
2024-12-26,0.026555555555555554,0.8543333333333334,0.119,0.8363111111111111,9
2024-12-27,0.028941176470588234,0.8431764705882353,0.12794117647058822,0.6641470588235294,17
2024-12-28,0.042375,0.855,0.10275000000000001,0.5390375000000001,8
2024-12-29,0.028999999999999998,0.8335714285714285,0.13742857142857143,0.5146,7
2024-12-30,0.024,0.9171428571428571,0.05871428571428572,0.34859999999999997,7
2024-12-31,0.056875,0.805625,0.13775,0.742075,8
